"GEOID","PopulationValue","CENTLAT","CENTLON"
200354935001,722,37.2704056,-96.988634
200354935002,1169,37.2426938,-96.9838816
200354935004,1015,37.2515276,-96.9809551
200354936001,630,37.235229,-96.9925549
200354936002,1009,37.2368772,-96.9636104
200354936003,969,37.23597,-96.9795357
200354936004,770,37.2328021,-96.9865483
200354936005,716,37.2379513,-96.9868412
200354937001,1420,37.0714162,-97.0277395
200354937002,2030,37.0944645,-97.0347377
200354938001,801,37.0754651,-97.043898
200354938002,1316,37.0688427,-97.0441247
200354938003,615,37.0747569,-97.0524025
200354938004,1722,37.0971374,-97.0743876
200354939002,1413,37.0369332,-97.0654354
200354939001,1803,37.0534182,-96.9521872
200354940001,877,37.0601717,-97.0493373
200354940002,715,37.0489451,-97.0482325
200354940003,685,37.0589286,-97.0389325
200354941001,954,37.0564437,-97.0292219
200354941002,502,37.0421268,-97.0198328
200379566003,804,37.5356958,-94.7047919
200379566001,1123,37.6012792,-94.7033267
200379566002,850,37.5503838,-94.7140745
200379566004,1338,37.5313577,-94.662299
200379567002,890,37.4595452,-95.0091583
200379567003,811,37.4100278,-94.8854713
200379567001,1059,37.6107934,-94.926049
200379567004,698,37.3538092,-94.8231707
200379568001,980,37.506492,-94.8658626
200379568002,1112,37.5089223,-94.8452829
200379568003,1212,37.50638,-94.8102938
200379569001,1184,37.4715481,-94.6987601
200379569002,1146,37.4616376,-94.6875417
200379569003,1831,37.4475626,-94.6854331
200379570001,1629,37.4243257,-94.6475437
200379570002,1830,37.4268727,-94.6835243
200379571001,968,37.434176,-94.6943071
200379571002,845,37.4322183,-94.7022718
200379571003,998,37.4217706,-94.6997022
200379572001,1462,37.4258818,-94.7453148
200379572002,727,37.4266375,-94.7101218
200379573001,1547,37.3731402,-94.7437382
200379573002,1514,37.3914305,-94.7101775
200379574001,1117,37.4083008,-94.7159743
200379574002,1012,37.4019331,-94.7164353
200379575001,911,37.4126298,-94.7050039
200379575002,755,37.4048593,-94.7049375
200379575003,847,37.3993926,-94.704973
200379576011,1835,37.3891313,-94.6521363
200379576012,1330,37.3854385,-94.6907892
200379576013,1241,37.3549307,-94.6646654
200379576023,1427,37.3927402,-94.6959229
200379576021,987,37.4037024,-94.693607
200379576022,952,37.3854535,-94.6999792
200399513003,979,39.8311362,-100.5022488
200399513001,728,39.8190159,-100.5634672
200399513002,1057,39.7838278,-100.4583464
200410841001,1593,38.9944509,-97.205178
200410841002,821,39.0865608,-97.1595655
200410841003,1560,38.9771447,-96.998014
200410842001,1009,38.9128368,-97.3592788
200410842002,1381,38.7567307,-97.2630132
200410843001,1509,38.925264,-97.2428134
200410843002,770,38.9025359,-97.2293921
200410844001,1055,38.9226859,-97.1889511
200410844002,1598,38.9256955,-97.2166823
200410844003,1097,38.9169555,-97.2151653
200410844004,1055,38.9361917,-97.1954739
200410845001,1031,38.8557945,-97.0231853
200410845002,824,38.6849369,-97.0427145
200410845003,943,38.9201377,-97.1217821
200410846001,1068,38.6791797,-96.9392978
200410846002,1088,38.6718449,-96.9557569
200430201001,479,39.8995833,-95.2589876
200430201002,996,39.8290182,-95.2879523
200430201003,584,39.7454649,-95.2606675
200430202003,527,39.7013582,-95.1224392
200430202001,639,39.8262357,-95.0933952
200430202002,955,39.7767645,-95.0586479
200430203002,700,39.7387592,-94.9981808
200430203001,1178,39.8358153,-94.9600568
200430203003,636,39.7618686,-94.8935525
200430203004,816,39.7433979,-94.904505
200450001001,1268,38.9815192,-95.2248078
200450001002,662,39.0183539,-95.2290445
200450001003,845,38.9762164,-95.2025935
200450002011,670,38.9644745,-95.2149072
200450002012,1448,38.9485552,-95.1975772
200450002023,1262,38.9535076,-95.2296793
200450002021,2037,38.9658111,-95.2309894
200450002022,649,38.9585051,-95.2296967
200450002024,1023,38.9535255,-95.2187247
200450003013,1633,38.9610921,-95.2391896
200450003011,1535,38.9656334,-95.2458483
200450003012,1302,38.9656539,-95.2394013
200450003023,367,38.9567302,-95.2376398
200450003021,1013,38.9526948,-95.2388553
200450003022,501,38.952201,-95.2450604
200450004002,3301,38.9515848,-95.2652842
200450004001,1583,38.9580365,-95.2472234
200450005011,1684,38.9835919,-95.248822
200450005012,1446,38.9756862,-95.2504333
200450005021,1116,38.9702895,-95.2555753
200450005022,2595,38.9627429,-95.2555248
200450005023,1303,38.9703553,-95.2433396
200450006021,1992,38.9504018,-95.3219351
200450006022,2010,38.9684608,-95.3177932
200450006023,2513,38.963238,-95.3207454
200450006031,3470,38.9867948,-95.2881228
200450006032,1781,38.9747272,-95.2899676
200450006033,4920,38.9851628,-95.318131
200450006041,1642,38.9895169,-95.2710951
200450006042,1073,38.9843542,-95.2686001
200450006043,2616,38.9773791,-95.2703193
200450007011,1688,38.962083,-95.301176
200450007012,2373,38.9660427,-95.2947472
200450007031,2036,38.967922,-95.2815937
200450007032,937,38.9605846,-95.2819052
200450007041,2253,38.9608047,-95.2680053
200450007042,1182,38.9681473,-95.2674275
200450007971,1145,38.9463433,-95.2745607
200450007972,1544,38.950256,-95.2849696
200450007973,2255,38.9495171,-95.2988486
200450008011,1247,38.9316749,-95.3083033
200450008013,1897,38.9355818,-95.2839908
200450008012,964,38.935324,-95.296535
200450008014,1792,38.9390273,-95.2932264
200450008023,1997,38.9392448,-95.2697297
200450008021,2363,38.9319967,-95.269927
200450008022,1499,38.9215429,-95.2698899
200450009021,427,38.9312287,-95.2560737
200450009022,765,38.9317976,-95.2465642
200450009023,1208,38.9196109,-95.2511214
200450009031,1790,38.9464041,-95.2511554
200450009041,1019,38.9391821,-95.2441565
200450009042,1776,38.9383915,-95.2516645
200450009043,1126,38.9392148,-95.2578211
200450010011,1474,38.9463994,-95.232628
200450010012,1180,38.9279146,-95.2326385
200450010023,2518,38.9368892,-95.21335
200450010021,1775,38.944281,-95.2188075
200450010022,1592,38.9270093,-95.1976455
200450012011,1787,38.8849569,-95.2004169
200450012023,1956,38.9377445,-95.0874741
200450012021,2178,38.9019687,-95.1226775
